"Disease","Read code","Medcode","Descr","Category"
"Iron deficiency anaemia","D000.00","27726.0","Iron deficiency anaemia due to chronic blood loss","Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D000.11","6816.0","Normocytic anaemia due to chronic blood loss","Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D000.12","48338.0","Iron deficiency anaemia due to blood loss","Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D001.00","21127.0","Iron deficiency anaemia due to dietary causes","Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D00..00","795.0","Iron deficiency anaemias","Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D00..11","882.0","Hypochromic - microcytic anaemia","Possible Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D00..12","539.0","Microcytic - hypochromic anaemia","Possible Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D00y000","55478.0","Sideropenic dysphagia","Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D00y011","36965.0","Kelly-Paterson syndrome","Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D00y012","35199.0","Plummer-Vinson syndrome","Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D00y100","4839.0","Microcytic hypochromic anaemia","Possible Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D00y.00","33420.0","Other specified iron deficiency anaemia","Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D00y.11","31347.0","Kelly - Paterson syndrome","Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D00y.12","20123.0","Plummer - Vinson syndrome","Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D00yz00","9537.0","Other specified iron deficiency anaemia NOS","Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D00z000","19951.0","Achlorhydric anaemia","Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D00z100","57954.0","Chlorotic anaemia","Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D00z200","40750.0","Idiopathic hypochromic anaemia","Possible Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D00z.00","18137.0","Unspecified iron deficiency anaemia","Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D00zz00","15439.0","Iron deficiency anaemia NOS","Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D01..00","11961.0","Other deficiency anaemias","Possible Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D01z.00","57274.0","Other deficiency anaemias NOS","Possible Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D0...11","94528.0","Asiderotic anaemia","Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D0...12","19383.0","Sideropenic anaemia","Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D0...00","7841.0","Deficiency anaemias","Possible Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D0y..00","26327.0","Other specified deficiency anaemias","Possible Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D0z..00","8054.0","Deficiency anaemias NOS","Possible Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D01yy00","100576.0","Other specified other nutritional deficiency anaemia","Possible Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","D01yz00","92106.0","Other specified nutritional deficiency anaemia NOS","Possible Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","Dyu0000","4858.0","[X]Other iron deficiency anaemias","Diagnosis of Iron deficiency anaemia"
"Iron deficiency anaemia","Dyu0.00","71840.0","[X]Nutritional anaemias","Possible Diagnosis of Iron deficiency anaemia"
