"Disease","Read code","Medcode","Descr","Category"
"Diverticular disease of intestine (acute and chronic)","7718000.0","34164.0","Excision of diverticulum of colon","Procedure for Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J23z300","68959.0","Appendicular diverticulum","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J510000","3538.0","Diverticulosis of the duodenum","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J510100","27444.0","Diverticulosis of the jejunum","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J510200","44647.0","Diverticulosis of the ileum","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J510300","47924.0","Diverticulosis of the small intestine unspecified","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J510400","73334.0","Diverticulosis of the small intestine NOS","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J510500","1101.0","Diverticulosis of the colon","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J510600","53092.0","Diverticulosis of the large intestine unspecified","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J510700","2536.0","Diverticulosis of the large intestine NOS","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J510800","17105.0","Divertic dis/both sml+lge intestin without perfor or abscess","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J510900","2044.0","Bleeding diverticulosis","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J510.00","3593.0","Diverticulosis","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J510y00","49084.0","Diverticulosis unspecified","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J510z00","7662.0","Diverticulosis NOS","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J511000","12345.0","Diverticulitis of the duodenum","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J511100","61722.0","Diverticulitis of the jejunum","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J511200","61664.0","Diverticulitis of the ileum","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J511300","31365.0","Diverticulitis of the small intestine unspecified","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J511400","72590.0","Diverticulitis of the small intestine NOS","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J511500","10483.0","Diverticulitis of the colon","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J511600","51511.0","Diverticulitis of the large intestine unspecified","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J511700","62979.0","Diverticulitis of the large intestine NOS","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J511.00","347.0","Diverticulitis","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J511y00","19935.0","Diverticulitis unspecified","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J511z00","10437.0","Diverticulitis NOS","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J512000","37588.0","Perforated diverticulum of duodenum","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J512100","48173.0","Perforated diverticulum of jejunum","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J512200","42866.0","Perforated diverticulum of ileum","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J512300","71130.0","Perforated diverticulum of small intestine unspecified","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J512400","106340.0","Perforated diverticulum of small intestine NOS","Diagnosis of Diverticular disease of intestine (acute and chronic)"
