"Disease","ICD10codes","ICD10codeDescr","Category"
"Other nervous system infections","A06.6","Amoebic brain abscess","Diagnosis of Other nervous system infections"
"Other nervous system infections","A17.8","Other tuberculosis of nervous system","Diagnosis of Other nervous system infections"
"Other nervous system infections","A17.9","Tuberculosis of nervous system, unspecified","Diagnosis of Other nervous system infections"
"Other nervous system infections","A52.1","Symptomatic neurosyphilis","Diagnosis of Other nervous system infections"
"Other nervous system infections","A52.2","Asymptomatic neurosyphilis","Diagnosis of Other nervous system infections"
"Other nervous system infections","A52.3","Neurosyphilis, unspecified","Diagnosis of Other nervous system infections"
"Other nervous system infections","A80","Acute poliomyelitis","Diagnosis of Other nervous system infections"
"Other nervous system infections","A81","Atypical virus infections of central nervous system","Diagnosis of Other nervous system infections"
"Other nervous system infections","A82","Rabies","Diagnosis of Other nervous system infections"
"Other nervous system infections","A88","Other viral infections of central nervous system, not elsewhere classified","Diagnosis of Other nervous system infections"
"Other nervous system infections","A89","Unspecified viral infection of central nervous system","Diagnosis of Other nervous system infections"
"Other nervous system infections","B02.2","Zoster with other nervous system involvement","Diagnosis of Other nervous system infections"
"Other nervous system infections","B06.0","Rubella with neurological complications","Diagnosis of Other nervous system infections"
"Other nervous system infections","B43.1","Phaeomycotic brain abscess","Diagnosis of Other nervous system infections"
"Other nervous system infections","B45.1","Cerebral cryptococcosis","Diagnosis of Other nervous system infections"
"Other nervous system infections","B50.0","Plasmodium falciparum malaria with cerebral complications","Diagnosis of Other nervous system infections"
"Other nervous system infections","B58.2","Toxoplasma meningoencephalitis","Diagnosis of Other nervous system infections"
"Other nervous system infections","B69.0","Cysticercosis of central nervous system","Diagnosis of Other nervous system infections"
"Other nervous system infections","B90.0","Sequelae of central nervous system tuberculosis","Diagnosis of Other nervous system infections"
"Other nervous system infections","B91","Sequelae of poliomyelitis","Diagnosis of Other nervous system infections"
"Other nervous system infections","G04.2","Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified","Possible diagnosis of Other nervous system infections"
"Other nervous system infections","G04.8","Other encephalitis, myelitis and encephalomyelitis","Possible diagnosis of Other nervous system infections"
"Other nervous system infections","G04.9","Encephalitis, myelitis and encephalomyelitis, unspecified","Possible diagnosis of Other nervous system infections"
"Other nervous system infections","G05.0","Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere","Possible diagnosis of Other nervous system infections"
"Other nervous system infections","G05.1","Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere","Possible diagnosis of Other nervous system infections"
"Other nervous system infections","G05.2","Encephalitis, myelitis and encephalomyelitis in other infectious and parasitic diseases classified elsewhere","Possible diagnosis of Other nervous system infections"
"Other nervous system infections","G06","Intracranial and intraspinal abscess and granuloma","Diagnosis of Other nervous system infections"
"Other nervous system infections","G07","Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere","Diagnosis of Other nervous system infections"
"Other nervous system infections","G08","Intracranial and intraspinal phlebitis and thrombophlebitis","Diagnosis of Other nervous system infections"
"Other nervous system infections","M89.6","Osteopathy after poliomyelitis","Diagnosis of Other nervous system infections"
