"Disease","Read code","Medcode","Descr","Category"
"Heart failure","14A6.00","15058.0","H/O: heart failure","History of Heart failure"
"Heart failure","14AM.00","46912.0","H/O: Heart failure in last year","History of Heart failure"
"Heart failure","1O1..00","9913.0","Heart failure confirmed","Diagnosis of Heart failure"
"Heart failure","388D.00","46672.0","New York Heart Assoc classification heart failure symptoms","Diagnosis of Heart failure"
"Heart failure","661M500","106198.0","Heart failure self-management plan agreed","History of Heart failure"
"Heart failure","662f.00","18853.0","New York Heart Association classification - class I","Diagnosis of Heart failure"
"Heart failure","662g.00","13189.0","New York Heart Association classification - class II","Diagnosis of Heart failure"
"Heart failure","662h.00","19066.0","New York Heart Association classification - class III","Diagnosis of Heart failure"
"Heart failure","662i.00","51214.0","New York Heart Association classification - class IV","Diagnosis of Heart failure"
"Heart failure","662p.00","83502.0","Heart failure 6 month review","History of Heart failure"
"Heart failure","662T.00","12366.0","Congestive heart failure monitoring","History of Heart failure"
"Heart failure","662W.00","30779.0","Heart failure annual review","History of Heart failure"
"Heart failure","679W100","105002.0","Education about deteriorating heart failure","History of Heart failure"
"Heart failure","679X.00","95835.0","Heart failure education","History of Heart failure"
"Heart failure","8B29.00","24503.0","Cardiac failure therapy","Diagnosis of Heart failure"
"Heart failure","8CeC.00","105542.0","Preferred place of care for next exacerbation heart failure","History of Heart failure"
"Heart failure","8CL3.00","32945.0","Heart failure care plan discussed with patient","History of Heart failure"
"Heart failure","8CMK.00","103732.0","Has heart failure management plan","History of Heart failure"
"Heart failure","8CMW800","106008.0","Heart failure clinical pathway","History of Heart failure"
"Heart failure","8H2S.00","32898.0","Admit heart failure emergency","History of Heart failure"
"Heart failure","8HBE.00","17851.0","Heart failure follow-up","History of Heart failure"
"Heart failure","8HHz.00","70619.0","Referral to heart failure exercise programme","History of Heart failure"
"Heart failure","8Hk0.00","71235.0","Referred to heart failure education group","History of Heart failure"
"Heart failure","9h11.00","11613.0","Excepted from LVD quality indicators: Patient unsuitable","History of Heart failure"
"Heart failure","9h12.00","28649.0","Excepted from LVD quality indicators: Informed dissent","History of Heart failure"
"Heart failure","9h1..00","34213.0","Exception reporting: LVD quality indicators","History of Heart failure"
"Heart failure","9hH0.00","30749.0","Excepted heart failure quality indicators: Patient unsuitabl","History of Heart failure"
"Heart failure","9hH1.00","64062.0","Excepted heart failure quality indicators: Informed dissent","History of Heart failure"
"Heart failure","9hH..00","90935.0","Exception reporting: heart failure quality indicators","History of Heart failure"
"Heart failure","9N2p.00","19002.0","Seen by community heart failure nurse","History of Heart failure"
"Heart failure","9N6T.00","69062.0","Referred by heart failure nurse specialist","History of Heart failure"
"Heart failure","9On0.00","60710.0","Left ventricular dysfunction monitoring first letter","History of Heart failure"
"Heart failure","9On1.00","60721.0","Left ventricular dysfunction monitoring second letter","History of Heart failure"
"Heart failure","9On2.00","72341.0","Left ventricular dysfunction monitoring third letter","History of Heart failure"
"Heart failure","9On3.00","92305.0","Left ventricular dysfunction monitoring verbal invite","History of Heart failure"
"Heart failure","9On4.00","96484.0","Left ventricular dysfunction monitoring telephone invite","History of Heart failure"
"Heart failure","9On..00","18793.0","Left ventricular dysfunction monitoring administration","History of Heart failure"
"Heart failure","9Or0.00","19380.0","Heart failure review completed","History of Heart failure"
"Heart failure","9Or1.00","90193.0","Heart failure monitoring telephone invite","History of Heart failure"
"Heart failure","9Or2.00","90192.0","Heart failure monitoring verbal invite","History of Heart failure"
"Heart failure","9Or3.00","72965.0","Heart failure monitoring first letter","History of Heart failure"
"Heart failure","9Or4.00","72386.0","Heart failure monitoring second letter","History of Heart failure"
"Heart failure","9Or5.00","89650.0","Heart failure monitoring third letter","History of Heart failure"
"Heart failure","9Or..00","32911.0","Heart failure monitoring administration","History of Heart failure"
"Heart failure","G1yz100","22262.0","Rheumatic left ventricular failure","Diagnosis of Heart failure"
"Heart failure","G210100","72668.0","Malignant hypertensive heart disease with CCF","Diagnosis of Heart failure"
"Heart failure","G211100","52127.0","Benign hypertensive heart disease with CCF","Diagnosis of Heart failure"
"Heart failure","G21z100","62718.0","Hypertensive heart disease NOS with CCF","Diagnosis of Heart failure"
"Heart failure","G232.00","21837.0","Hypertensive heart&renal dis wth (congestive) heart failure","Diagnosis of Heart failure"
"Heart failure","G234.00","57987.0","Hyperten heart&renal dis+both(congestv)heart and renal fail","Diagnosis of Heart failure"
"Heart failure","G400.00","8464.0","Acute cor pulmonale","Diagnosis of Heart failure"
"Heart failure","G41z.11","5695.0","Chronic cor pulmonale","Diagnosis of Heart failure"
"Heart failure","G554000","5141.0","Congestive cardiomyopathy","Diagnosis of Heart failure"
"Heart failure","G554011","68766.0","Congestive obstructive cardiomyopathy","Diagnosis of Heart failure"
"Heart failure","G580000","23707.0","Acute congestive heart failure","Diagnosis of Heart failure"
"Heart failure","G580100","32671.0","Chronic congestive heart failure","Diagnosis of Heart failure"
"Heart failure","G580200","27884.0","Decompensated cardiac failure","Diagnosis of Heart failure"
"Heart failure","G580300","11424.0","Compensated cardiac failure","Diagnosis of Heart failure"
"Heart failure","G580400","94870.0","Congestive heart failure due to valvular disease","Diagnosis of Heart failure"
"Heart failure","G580.00","398.0","Congestive heart failure","Diagnosis of Heart failure"
"Heart failure","G580.11","2906.0","Congestive cardiac failure","Diagnosis of Heart failure"
"Heart failure","G580.12","10079.0","Right heart failure","Diagnosis of Heart failure"
"Heart failure","G580.13","10154.0","Right ventricular failure","Diagnosis of Heart failure"
"Heart failure","G580.14","9524.0","Biventricular failure","Diagnosis of Heart failure"
"Heart failure","G581000","5255.0","Acute left ventricular failure","Diagnosis of Heart failure"
"Heart failure","G581.00","884.0","Left ventricular failure","Diagnosis of Heart failure"
"Heart failure","G581.11","23481.0","Asthma - cardiac","Diagnosis of Heart failure"
"Heart failure","G581.13","5942.0","Impaired left ventricular function","Diagnosis of Heart failure"
"Heart failure","G582.00","27964.0","Acute heart failure","Diagnosis of Heart failure"
"Heart failure","G584.00","104275.0","Right ventricular failure","Diagnosis of Heart failure"
"Heart failure","G58..00","2062.0","Heart failure","Diagnosis of Heart failure"
"Heart failure","G58..11","1223.0","Cardiac failure","Diagnosis of Heart failure"
"Heart failure","G58z.00","4024.0","Heart failure NOS","Diagnosis of Heart failure"
"Heart failure","G58z.12","17278.0","Cardiac failure NOS","Diagnosis of Heart failure"
"Heart failure","G5yy900","8966.0","Left ventricular systolic dysfunction","Diagnosis of Heart failure"
"Heart failure","G5yyA00","12550.0","Left ventricular diastolic dysfunction","Diagnosis of Heart failure"
"Heart failure","ZRad.00","26242.0","New York Heart Assoc classification heart failure symptoms","Diagnosis of Heart failure"
