"Disease","ICD10codes","ICD10codeDescr","Category",""
"Infections of Other or unspecified organs","A02.2","Localized salmonella infections","32.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A02.8","Other specified salmonella infections","21.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A02.9","Salmonella infection, unspecified","216.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A06.8","Amoebic infection of other sites","8.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A06.9","Amoebiasis, unspecified","12.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A18.7","Tuberculosis of adrenal glands","22.0","Diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A18.8","Tuberculosis of other specified organs","328.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A19","Miliary tuberculosis","763.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A20.8","Other forms of plague","1.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A20.9","Plague, unspecified","12.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A21.7","Generalised tularaemia","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A21.8","Other forms of tularaemia","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A21.9","Tularaemia, unspecified","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A22.8","Other forms of anthrax","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A22.9","Anthrax, unspecified","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A23","Brucellosis","51.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A24","Glanders and melioidosis","28.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A25","Rat-bite fevers","4.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A26.8","Other forms of erysipeloid","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A26.9","Erysipeloid, unspecified","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A27","Leptospirosis","98.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A28","Other zoonotic bacterial diseases, not elsewhere classified","186.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A30","Leprosy [Hansen's disease]","22.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A31.8","Other mycobacterial infections","281.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A31.9","Mycobacterial infection, unspecified","425.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A32.8","Other forms of listeriosis","4.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A32.9","Listeriosis, unspecified","81.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A35","Other tetanus","69.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A36.8","Other diphtheria","34.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A36.9","Diphtheria, unspecified","26.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A38","Scarlet fever","774.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A39.8","Other meningococcal infections","141.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A39.9","Meningococcal infection, unspecified","172.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A42.1","Abdominal actinomycosis","46.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A42.2","Cervicofacial actinomycosis","7.0","Possible diagnosis of Infections of Other or unspecified organs"
