Disease,ICD10code,ICD10codeDescr,Category
Tubulo-interstitial nephritis,N12,"Tubulo-interstitial nephritis, not specified as acute or chronic",Diagnosis of Tubulo-interstitial nephritis
Tubulo-interstitial nephritis,N14.0,Analgesic nephropathy,Diagnosis of Tubulo-interstitial nephritis
Tubulo-interstitial nephritis,N14.1,"Nephropathy induced by other drugs, medicaments and biological substances",Diagnosis of Tubulo-interstitial nephritis
Tubulo-interstitial nephritis,N14.2,"Nephropathy induced by unspecified drug, medicament or biological substance",Diagnosis of Tubulo-interstitial nephritis
Tubulo-interstitial nephritis,N14.3,Nephropathy induced by heavy metals,Diagnosis of Tubulo-interstitial nephritis
Tubulo-interstitial nephritis,N14.4,"Toxic nephropathy, not elsewhere classified",Diagnosis of Tubulo-interstitial nephritis
Tubulo-interstitial nephritis,N15.8,Other specified renal tubulo-interstitial diseases,Diagnosis of Tubulo-interstitial nephritis
Tubulo-interstitial nephritis,N15.9,"Renal tubulo-interstitial disease, unspecified",Diagnosis of Tubulo-interstitial nephritis
Tubulo-interstitial nephritis,N16.1,Renal tubulo-interstitial disorders in neoplastic diseases,Diagnosis of Tubulo-interstitial nephritis
Tubulo-interstitial nephritis,N16.2,Renal tubulo-interstitial disorders in blood diseases and disorders involving the immune mechanism,Diagnosis of Tubulo-interstitial nephritis
Tubulo-interstitial nephritis,N16.3,Renal tubulo-interstitial disorders in metabolic diseases,Diagnosis of Tubulo-interstitial nephritis
Tubulo-interstitial nephritis,N16.4,Renal tubulo-interstitial disorders in systemic connective tissue disorders,Diagnosis of Tubulo-interstitial nephritis
Tubulo-interstitial nephritis,N16.5,Renal tubulo-interstitial disorders in transplant rejection,Diagnosis of Tubulo-interstitial nephritis
Tubulo-interstitial nephritis,N16.8,Renal tubulo-interstitial disorders in other diseases classified elsewhere,Diagnosis of Tubulo-interstitial nephritis
