Disease,ICD10code,ICD10codeDescr,Category
"Liver fibrosis, sclerosis and cirrhosis",K70.1,Alcoholic hepatitis,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis"
"Liver fibrosis, sclerosis and cirrhosis",K70.2,Alcoholic fibrosis and sclerosis of liver,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis"
"Liver fibrosis, sclerosis and cirrhosis",K70.3,Alcoholic cirrhosis of liver,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis"
"Liver fibrosis, sclerosis and cirrhosis",K71.7,Toxic liver disease with fibrosis and cirrhosis of liver,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis"
"Liver fibrosis, sclerosis and cirrhosis",K74.0,Hepatic fibrosis,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis"
"Liver fibrosis, sclerosis and cirrhosis",K74.1,Hepatic sclerosis,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis"
"Liver fibrosis, sclerosis and cirrhosis",K74.2,Hepatic fibrosis with hepatic sclerosis,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis"
"Liver fibrosis, sclerosis and cirrhosis",K74.4,Secondary biliary cirrhosis,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis"
"Liver fibrosis, sclerosis and cirrhosis",K74.5,"Biliary cirrhosis, unspecified","Diagnosis of Liver fibrosis, sclerosis and cirrhosis"
"Liver fibrosis, sclerosis and cirrhosis",K74.6,Other and unspecified cirrhosis of liver,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis"
