Disease,ICD10code,ICD10codeDescr,Category
Diabetes,E10,Insulin-dependent diabetes mellitus,Insulin dependent diabetes (3)
Diabetes,E11,Non-insulin-dependent diabetes mellitus,Non insulin dependent diabetes (4)
Diabetes,E12,Malnutrition-related diabetes mellitus,Secondary diabetes (5)
Diabetes,O242,Diabetes mellitus in pregnancy: Pre-existing malnutrition-related diabetes mellitus,Secondary diabetes (5)
Diabetes,E13,Other specified diabetes mellitus,Diabetes not otherwise specified (6)
Diabetes,E14,Unspecified diabetes mellitus,Diabetes not otherwise specified (6)
Diabetes,G590,Diabetic mononeuropathy,Diabetes not otherwise specified (6)
Diabetes,G632,Diabetic polyneuropathy,Diabetes not otherwise specified (6)
Diabetes,H280,Diabetic cataract,Diabetes not otherwise specified (6)
Diabetes,H360,Diabetic retinopathy,Diabetes not otherwise specified (6)
Diabetes,M142,Diabetic arthropathy,Diabetes not otherwise specified (6)
Diabetes,N083,Glomerular disorders in diabetes mellitus,Diabetes not otherwise specified (6)
Diabetes,O240,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, insulin-dependent",Diabetes not otherwise specified (6)
Diabetes,O241,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, non-insulin-dependent",Diabetes not otherwise specified (6)
Diabetes,O243,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, unspecified",Diabetes not otherwise specified (6)
