Disease,ICD10code,ICD10codeDescr,Category
Lower Respiratory Tract Infections,A06.5,Amoebic lung abscess,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,A20.2,Pneumonic plague,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,A21.2,Pulmonary tularaemia,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,A22.1,Pulmonary Anthrax,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,A31.0,Pulmonary mycobacterial infection,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,A37,Whooping cough,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,A42.0,Pulmonary actinomycosis,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,A43.0,Pulmonary nocardiosis,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,B01.2,Varicella pneumonia,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,B05.2,Measles complicated by pneumonia,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,B25.0,Cytomegaloviral pneumonitis,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,B37.1,Pulmonary candidiasis,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,B38.0,Acute pulmonary coccidioidomycosis,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,B38.1,Chronic pulmonary coccidioidomycosis,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,B38.2,"Pulmonary coccidioidomycosis, unspecified",Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,B39.0,Acute pulmonary histoplasmosis capsulati,Diagnosis of Lower Respiratory Tract Infections
