Disease,ICD10code,ICD10codeDescr,Category
Primary Malignancy_Other Organs,C17,Malignant neoplasm of small intestine,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C23,Malignant neoplasm of gallbladder,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C26.0,"Malignant neoplasm: Intestinal tract, part unspecified",Possible Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C26.1,Malignant neoplasm: Spleen,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C26.8,Malignant neoplasm: Overlapping lesion of digestive system,Possible Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C26.9,Malignant neoplasm: Ill-defined sites within the digestive system,Possible Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C30.0,Malignant neoplasm: Nasal cavity,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C30.1,Malignant neoplasm: Middle ear,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C31,Malignant neoplasm of accessory sinuses,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C32,Malignant neoplasm of larynx,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C37,Malignant neoplasm of thymus,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C38.0,Malignant neoplasm: Heart,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C38.1,Malignant neoplasm: Anterior mediastinum,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C38.2,Malignant neoplasm: Posterior mediastinum,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C38.3,"Malignant neoplasm: Mediastinum, part unspecified",Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C38.4,Malignant neoplasm: Pleura,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C38.8,"Overlapping lesion of heart, mediastinum and pleura",Possible Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C39.0,"Malignant neoplasm: Upper respiratory tract, part unspecified",Possible Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C39.8,Malignant neoplasm: Overlapping lesion of respiratory and intrathoracic organs,Possible Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C39.9,Malignant neoplasm: Ill-defined sites within the respiratory system,Possible Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C46,Kaposi sarcoma,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C47,Malignant neoplasm of peripheral nerves and autonomic nervous system,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C48,Malignant neoplasm of retroperitoneum and peritoneum,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C49,Malignant neoplasm of other connective and soft tissue,Possible Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C51,Malignant neoplasm of vulva,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C52,Malignant neoplasm of vagina,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C57,Malignant neoplasm of other and unspecified female genital organs,Possible Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C58,Malignant neoplasm of placenta,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C60,Malignant neoplasm of penis,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C63,Malignant neoplasm of other and unspecified male genital organs,Possible Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C68,Malignant neoplasm of other and unspecified urinary organs,Possible Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C69,Malignant neoplasm of eye and adnexa,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C74,Malignant neoplasm of adrenal gland,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C75.0,Malignant neoplasm: Parathyroid gland,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C75.8,"Malignant neoplasm: Pluriglandular involvement, unspecified",Possible Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C75.9,"Malignant neoplasm: Endocrine gland, unspecified",Possible Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C76,Malignant neoplasm of other and ill-defined sites,Possible Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C80,Malignant neoplasm without specification of site,Possible Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C88.3,Immunoproliferative small intestinal disease,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C88.4,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma],Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C88.7,Other malignant immunoproliferative diseases,Possible Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C88.9,"Malignant immunoproliferative disease, unspecified",Possible Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,C96,"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue",Possible Diagnosis of Primary Malignancy_Other Organs
