"Disease","OPCS4code","OPCS4codeDescr","Category"
"Intervertebral disc disorders","V29","Primary excision of cervical intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V29.1","Primary laminectomy excision of cervical intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V29.2","Primary hemilaminectomy excision of cervical intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V29.3","Primary fenestration excision of cervical intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V29.4","Primary anterior excision of cervical intervertebral disc and interbody fusion of joint of cervical spine","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V29.5","Primary anterior excision of cervical intervertebral disc NEC","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V29.6","Primary microdiscectomy of cervical intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V29.8","Other specified primary excision of cervical intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V29.9","Unspecified primary excision of cervical intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V30","Revisional excision of cervical intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V30.1","Revisional laminectomy excision of cervical intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V30.2","Revisional hemilaminectomy excision of cervical intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V30.3","Revisional fenestration excision of cervical intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V30.4","Revisional anterior excision of cervical intervertebral disc and interbody fusion of joint of cervical spine","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V30.5","Revisional anterior excision of cervical intervertebral disc NEC","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V30.6","Revisional microdiscectomy of cervical intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V30.8","Other specified revisional excision of cervical intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V30.9","Unspecified revisional excision of cervical intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V31","Primary excision of thoracic intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V31.1","Primary anterolateral excision of thoracic intervertebral disc and graft HFQ","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V31.2","Primary anterolateral excision of thoracic intervertebral disc NEC","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V31.3","Primary costotransversectomy of thoracic intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V31.4","Primary percutaneous endoscopic excision of thoracic intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V31.8","Other specified primary excision of thoracic intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V31.9","Unspecified primary excision of thoracic intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V32","Revisional excision of thoracic intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V32.1","Revisional anterolateral excision of thoracic intervertebral disc and graft HFQ","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V32.2","Revisional anterolateral excision of thoracic intervertebral disc NEC","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V32.3","Revisional costotransversectomy of thoracic intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V32.4","Revisional percutaneous endoscopic excision of thoracic intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V32.8","Other specified revisional excision of thoracic intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V32.9","Unspecified revisional excision of thoracic intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V33","Primary excision of lumbar intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V33.1","Primary laminectomy excision of lumbar intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V33.2","Primary fenestration excision of lumbar intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V33.3","Primary anterior excision of lumbar intervertebral disc and interbody fusion of joint of lumbar spine","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V33.4","Primary anterior excision of lumbar intervertebral disc NEC","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V33.5","Primary anterior excision of lumbar intervertebral disc and posterior graft fusion of joint of lumbar spine","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V33.6","Primary anterior excision of lumbar intervertebral disc and posterior instrumentation of lumbar spine","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V33.7","Primary microdiscectomy of lumbar intervertebral disc","Procedure for Intervertebral disc disorders"
