"Disease","OPCS4code","OPCS4codeDescr","Category"
"Urolithiasis","M06.1","Open removal of calculus from kidney","Procedure for Urolithiasis"
"Urolithiasis","M09","Therapeutic endoscopic operations on calculus of kidney","Procedure for Urolithiasis"
"Urolithiasis","M09.1","Endoscopic ultrasound fragmentation of calculus of kidney","Procedure for Urolithiasis"
"Urolithiasis","M09.2","Endoscopic electrohydraulic shockwave fragmentation of calculus of kidney","Procedure for Urolithiasis"
"Urolithiasis","M09.3","Endoscopic laser fragmentation of calculus of kidney","Procedure for Urolithiasis"
"Urolithiasis","M09.4","Endoscopic extraction of calculus of kidney NEC","Procedure for Urolithiasis"
"Urolithiasis","M09.8","Other specified therapeutic endoscopic operations on calculus of kidney","Procedure for Urolithiasis"
"Urolithiasis","M09.9","Unspecified therapeutic endoscopic operations on calculus of kidney","Procedure for Urolithiasis"
"Urolithiasis","M14","Extracorporeal fragmentation of calculus of kidney","Procedure for Urolithiasis"
"Urolithiasis","M14.1","Extracorporeal shock wave lithotripsy of calculus of kidney","Procedure for Urolithiasis"
"Urolithiasis","M14.8","Other specified extracorporeal fragmentation of calculus of kidney","Procedure for Urolithiasis"
"Urolithiasis","M14.9","Unspecified extracorporeal fragmentation of calculus of kidney","Procedure for Urolithiasis"
"Urolithiasis","M16.4","Percutaneous nephrolithotomy NEC","Procedure for Urolithiasis"
"Urolithiasis","M23.1","Open ureterolithotomy","Procedure for Urolithiasis"
"Urolithiasis","M26.1","Nephroscopic laser fragmentation of calculus of ureter","Procedure for Urolithiasis"
"Urolithiasis","M26.2","Nephroscopic fragmentation of calculus of ureter NEC","Procedure for Urolithiasis"
"Urolithiasis","M26.3","Nephroscopic extraction of calculus of ureter","Procedure for Urolithiasis"
"Urolithiasis","M27.1","Ureteroscopic laser fragmentation of calculus of ureter","Procedure for Urolithiasis"
"Urolithiasis","M27.2","Ureteroscopic fragmentation of calculus of ureter NEC","Procedure for Urolithiasis"
"Urolithiasis","M27.3","Ureteroscopic extraction of calculus of ureter","Procedure for Urolithiasis"
"Urolithiasis","M28","Other endoscopic removal of calculus from ureter","Procedure for Urolithiasis"
"Urolithiasis","M28.1","Endoscopic laser fragmentation of calculus of ureter NEC","Procedure for Urolithiasis"
"Urolithiasis","M28.2","Endoscopic fragmentation of calculus of ureter NEC","Procedure for Urolithiasis"
"Urolithiasis","M28.3","Endoscopic extraction of calculus of ureter NEC","Procedure for Urolithiasis"
"Urolithiasis","M28.4","Endoscopic catheter drainage of calculus of ureter","Procedure for Urolithiasis"
"Urolithiasis","M28.5","Endoscopic drainage of calculus of ureter by dilation of ureter","Procedure for Urolithiasis"
"Urolithiasis","M28.8","Other specified other endoscopic removal of calculus from ureter","Procedure for Urolithiasis"
"Urolithiasis","M28.9","Unspecified other endoscopic removal of calculus from ureter","Procedure for Urolithiasis"
"Urolithiasis","M31","Extracorporeal fragmentation of calculus of ureter","Procedure for Urolithiasis"
"Urolithiasis","M31.1","Extracorporeal shockwave lithotripsy of calculus of ureter","Procedure for Urolithiasis"
"Urolithiasis","M31.8","Other specified extracorporeal fragmentation of calculus of ureter","Procedure for Urolithiasis"
"Urolithiasis","M31.9","Unspecified extracorporeal fragmentation of calculus of ureter","Procedure for Urolithiasis"
"Urolithiasis","M39.1","Open removal of calculus from bladder","Procedure for Urolithiasis"
"Urolithiasis","M44.2","Endoscopic extraction of calculus of bladder NEC","Procedure for Urolithiasis"
"Urolithiasis","M75.4","Open extraction of calculus from urethra","Procedure for Urolithiasis"
"Urolithiasis","M86.1","Endoscopic extraction of calculus of urinary diversion","Procedure for Urolithiasis"
