"Disease","OPCS4code","OPCS4codeDescr","Category"
"Oesophageal varices","G10","Open operations on varices of oesophagus","Procedure for Oesophageal varices"
"Oesophageal varices","G10.1","Disconnection of azygos vein","Procedure for Oesophageal varices"
"Oesophageal varices","G10.2","Transection of oesophagus using staple gun","Procedure for Oesophageal varices"
"Oesophageal varices","G10.3","Transection of oesophagus NEC","Procedure for Oesophageal varices"
"Oesophageal varices","G10.4","Local ligation of varices of oesophagus","Procedure for Oesophageal varices"
"Oesophageal varices","G10.5","Open injection sclerotherapy to varices of oesophagus","Procedure for Oesophageal varices"
"Oesophageal varices","G10.8","Other specified open operations on varices of oesophagus","Procedure for Oesophageal varices"
"Oesophageal varices","G10.9","Unspecified open operations on varices of oesophagus","Procedure for Oesophageal varices"
"Oesophageal varices","G17.4","Endoscopic injection sclerotherapy to varices of oesophagus using rigid oesophagoscope","Procedure for Oesophageal varices"
"Oesophageal varices","G43.7","Fibreoptic endoscopic rubber band ligation of upper gastrointestinal tract varices","Procedure for Oesophageal varices"
