Disease,ICD10code,ICD10codeDescr,Category
Infections of the digestive system,A00,Cholera,Diagnosis of Infections of the digestive system
Infections of the digestive system,A01,Typhoid and paratyphoid fevers,Diagnosis of Infections of the digestive system
Infections of the digestive system,A02.0,Salmonella enteritis,Diagnosis of Infections of the digestive system
Infections of the digestive system,A03,Shigellosis,Diagnosis of Infections of the digestive system
Infections of the digestive system,A04,Other bacterial intestinal infections,Diagnosis of Infections of the digestive system
Infections of the digestive system,A05,"Other bacterial foodborne intoxications, not elsewhere classified",Diagnosis of Infections of the digestive system
Infections of the digestive system,A06.0,Acute amoebic dysentery,Diagnosis of Infections of the digestive system
Infections of the digestive system,A06.1,Chronic intestinal amoebiasis,Diagnosis of Infections of the digestive system
Infections of the digestive system,A06.2,Amoebic nondysenteric colitis,Diagnosis of Infections of the digestive system
Infections of the digestive system,A06.3,Amoeboma of intestine,Diagnosis of Infections of the digestive system
Infections of the digestive system,A07,Other protozoal intestinal diseases,Diagnosis of Infections of the digestive system
Infections of the digestive system,A08,Viral and other specified intestinal infections,Diagnosis of Infections of the digestive system
Infections of the digestive system,A09,Other gastroenteritis and colitis of infectious and unspecified origin,Diagnosis of Infections of the digestive system
Infections of the digestive system,A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands",Diagnosis of Infections of the digestive system
Infections of the digestive system,A21.3,Gastrointestinal tularaemia,Diagnosis of Infections of the digestive system
Infections of the digestive system,A22.2,Gastrointestinal anthrax,Diagnosis of Infections of the digestive system
Infections of the digestive system,B05.4,Measles with intestinal complications,Diagnosis of Infections of the digestive system
Infections of the digestive system,B46.2,Gastrointestinal mucormycosis,Diagnosis of Infections of the digestive system
Infections of the digestive system,B78.0,Intestinal strongyloidiasis,Diagnosis of Infections of the digestive system
Infections of the digestive system,B81,"Other intestinal helminthiases, not elsewhere classified",Diagnosis of Infections of the digestive system
Infections of the digestive system,B82,Unspecified intestinal parasitism,Diagnosis of Infections of the digestive system
Infections of the digestive system,B98.0,Helicobacter pylori [H.pylori] as the cause of diseases classified to other chapters,Diagnosis of Infections of the digestive system
Infections of the digestive system,K23.0,Tuberculous oesophagitis,Diagnosis of Infections of the digestive system
Infections of the digestive system,K23.1,Megaoesophagus in Chagas' disease,Diagnosis of Infections of the digestive system
Infections of the digestive system,K63.0,Abscess of intestine,Diagnosis of Infections of the digestive system
Infections of the digestive system,K93.0,"Tuberculous disorders of intestines, peritoneum and mesenteric glands",Diagnosis of Infections of the digestive system
