"Disease","OPCS4code","OPCS4codeDescr","Category"
"Abdominal Hernia","T19","Simple excision of inguinal hernial sac","Procedure for Abdominal Hernia"
"Abdominal Hernia","T19.1","Bilateral herniotomy","Procedure for Abdominal Hernia"
"Abdominal Hernia","T19.2","Unilateral herniotomy","Procedure for Abdominal Hernia"
"Abdominal Hernia","T19.3","Ligation of patent processus vaginalis","Procedure for Abdominal Hernia"
"Abdominal Hernia","T19.8","Other specified simple excision of inguinal hernial sac","Procedure for Abdominal Hernia"
"Abdominal Hernia","T19.9","Unspecified simple excision of inguinal hernial sac","Procedure for Abdominal Hernia"
"Abdominal Hernia","T20","Primary repair of inguinal hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T20.1","Primary repair of inguinal hernia using insert of natural material","Procedure for Abdominal Hernia"
"Abdominal Hernia","T20.2","Primary repair of inguinal hernia using insert of prosthetic material","Procedure for Abdominal Hernia"
"Abdominal Hernia","T20.3","Primary repair of inguinal hernia using sutures","Procedure for Abdominal Hernia"
"Abdominal Hernia","T20.4","Primary repair of inguinal hernia and reduction of sliding hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T20.8","Other specified primary repair of inguinal hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T20.9","Unspecified primary repair of inguinal hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T21","Repair of recurrent inguinal hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T21.1","Repair of recurrent inguinal hernia using insert of natural material","Procedure for Abdominal Hernia"
"Abdominal Hernia","T21.2","Repair of recurrent inguinal hernia using insert of prosthetic material","Procedure for Abdominal Hernia"
"Abdominal Hernia","T21.3","Repair of recurrent inguinal hernia using sutures","Procedure for Abdominal Hernia"
"Abdominal Hernia","T21.4","Removal of prosthetic material from previous repair of inguinal hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T21.8","Other specified repair of recurrent inguinal hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T21.9","Unspecified repair of recurrent inguinal hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T22","Primary repair of femoral hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T22.1","Primary repair of femoral hernia using insert of natural material","Procedure for Abdominal Hernia"
"Abdominal Hernia","T22.2","Primary repair of femoral hernia using insert of prosthetic material","Procedure for Abdominal Hernia"
"Abdominal Hernia","T22.3","Primary repair of femoral hernia using sutures","Procedure for Abdominal Hernia"
"Abdominal Hernia","T22.8","Other specified primary repair of femoral hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T22.9","Unspecified primary repair of femoral hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T23","Repair of recurrent femoral hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T23.1","Repair of recurrent femoral hernia using insert of natural material","Procedure for Abdominal Hernia"
"Abdominal Hernia","T23.2","Repair of recurrent femoral hernia using insert of prosthetic material","Procedure for Abdominal Hernia"
"Abdominal Hernia","T23.3","Repair of recurrent femoral hernia using sutures","Procedure for Abdominal Hernia"
"Abdominal Hernia","T23.4","Removal of prosthetic material from previous repair of femoral hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T23.8","Other specified repair of recurrent femoral hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T23.9","Unspecified repair of recurrent femoral hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T24","Primary repair of umbilical hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T24.1","Repair of umbilical hernia using insert of natural material","Procedure for Abdominal Hernia"
"Abdominal Hernia","T24.2","Repair of umbilical hernia using insert of prosthetic material","Procedure for Abdominal Hernia"
"Abdominal Hernia","T24.3","Repair of umbilical hernia using sutures","Procedure for Abdominal Hernia"
"Abdominal Hernia","T24.4","Removal of prosthetic material from previous repair of umbilical hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T24.8","Other specified primary repair of umbilical hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T24.9","Unspecified primary repair of umbilical hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T25","Primary repair of incisional hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T25.1","Primary repair of incisional hernia using insert of natural material","Procedure for Abdominal Hernia"
"Abdominal Hernia","T25.2","Primary repair of incisional hernia using insert of prosthetic material","Procedure for Abdominal Hernia"
"Abdominal Hernia","T25.3","Primary repair of incisional hernia using sutures","Procedure for Abdominal Hernia"
"Abdominal Hernia","T25.8","Other specified primary repair of incisional hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T25.9","Unspecified primary repair of incisional hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T26","Repair of recurrent incisional hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T26.1","Repair of recurrent incisional hernia using insert of natural material","Procedure for Abdominal Hernia"
"Abdominal Hernia","T26.2","Repair of recurrent incisional hernia using insert of prosthetic material","Procedure for Abdominal Hernia"
"Abdominal Hernia","T26.3","Repair of recurrent incisional hernia using sutures","Procedure for Abdominal Hernia"
"Abdominal Hernia","T26.4","Removal of prosthetic material from previous repair of incisional hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T26.8","Other specified repair of recurrent incisional hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T26.9","Unspecified repair of recurrent incisional hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T27","Repair of other hernia of abdominal wall","Procedure for Abdominal Hernia"
"Abdominal Hernia","T27.1","Repair of ventral hernia using insert of natural material","Procedure for Abdominal Hernia"
"Abdominal Hernia","T27.2","Repair of ventral hernia using insert of prosthetic material","Procedure for Abdominal Hernia"
"Abdominal Hernia","T27.3","Repair of ventral hernia using sutures","Procedure for Abdominal Hernia"
"Abdominal Hernia","T27.4","Removal of prosthetic material from previous repair of ventral hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T27.8","Other specified repair of other hernia of abdominal wall","Procedure for Abdominal Hernia"
"Abdominal Hernia","T27.9","Unspecified repair of other hernia of abdominal wall","Procedure for Abdominal Hernia"
"Abdominal Hernia","T97","Repair of recurrent umbilical hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T97.1","Repair of recurrent umbilical hernia using insert of natural material","Procedure for Abdominal Hernia"
"Abdominal Hernia","T97.2","Repair of recurrent umbilical hernia using insert of prosthetic material","Procedure for Abdominal Hernia"
"Abdominal Hernia","T97.3","Repair of recurrent umbilical hernia using sutures","Procedure for Abdominal Hernia"
"Abdominal Hernia","T97.8","Other specified repair of recurrent umbilical hernia","Procedure for Abdominal Hernia"
"Abdominal Hernia","T97.9","Unspecified repair of recurrent umbilical hernia","Procedure for Abdominal Hernia"
