Disease,ICD10code,ICD10codeDescr,Category
Hypo or hyperthyroidism,E03.5,Myxoedema coma,Diagnosis of Hypo or hyperthyroidism
Hypo or hyperthyroidism,E03.8,Other specified hypothyroidism,Diagnosis of Hypo or hyperthyroidism
Hypo or hyperthyroidism,E03.9,"Hypothyroidism, unspecified",Diagnosis of Hypo or hyperthyroidism
Hypo or hyperthyroidism,E05.0,Thyrotoxicosis with diffuse goitre,Diagnosis of Hypo or hyperthyroidism
Hypo or hyperthyroidism,E05.1,Thyrotoxicosis with toxic single thyroid nodule,Diagnosis of Hypo or hyperthyroidism
Hypo or hyperthyroidism,E05.2,Thyrotoxicosis with toxic multinodular goitre,Diagnosis of Hypo or hyperthyroidism
Hypo or hyperthyroidism,E05.5,Thyroid crisis or storm,Diagnosis of Hypo or hyperthyroidism
Hypo or hyperthyroidism,E05.8,Other thyrotoxicosis,Diagnosis of Hypo or hyperthyroidism
Hypo or hyperthyroidism,E05.9,"Thyrotoxicosis, unspecified",Diagnosis of Hypo or hyperthyroidism
Hypo or hyperthyroidism,E06.2,Chronic thyroiditis with transient thyrotoxicosis,Diagnosis of Hypo or hyperthyroidism
Hypo or hyperthyroidism,E06.3,Autoimmune thyroiditis,Diagnosis of Hypo or hyperthyroidism
Hypo or hyperthyroidism,E06.5,Other chronic thyroiditis,Diagnosis of Hypo or hyperthyroidism
Hypo or hyperthyroidism,E06.9,"Thyroiditis, unspecified",Diagnosis of Hypo or hyperthyroidism
Hypo or hyperthyroidism,H06.2,Dysthyroid exophthalmos,Diagnosis of Hypo or hyperthyroidism
