Disease,ICD10code,ICD10codeDescr,Category
Other or unspecified infectious organisms,A08.5,Other specified intestinal infections,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,A09,Other gastroenteritis and colitis of infectious and unspecified origin,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,A41.8,Other specified sepsis,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,A41.9,"Sepsis, unspecified",Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,A63.8,Other specified predominantly sexually transmitted diseases,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,A64,Unspecified sexually transmitted disease,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,A81.0,Creutzfeldt-Jakob disease,Diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,A81.8,Other atypical virus infections of central nervous system,Diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,A81.9,"Atypical virus infection of central nervous system, unspecified",Diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,B94.8,Sequelae of other specified infectious and parasitic diseases,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,B94.9,Sequelae of unspecified infectious or parasitic disease,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,B99,Other and unspecified infectious diseases,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,G02.8,Meningitis in other specified infectious and parasitic diseases classified elsewhere,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,G04.8,"Other encephalitis, myelitis and encephalomyelitis",Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,G04.9,"Encephalitis, myelitis and encephalomyelitis, unspecified",Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,G05.2,"Encephalitis, myelitis and encephalomyelitis in other infectious and parasitic diseases classified elsewhere",Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,G06,Intracranial and intraspinal abscess and granuloma,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,G07,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,G08,Intracranial and intraspinal phlebitis and thrombophlebitis,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,G53.1,Multiple cranial nerve palsies in infectious and parasitic diseases classified elsewhere,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,G63.0,Polyneuropathy in infectious and parasitic diseases classified elsewhere,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,G94.0,Hydrocephalus in infectious and parasitic diseases classified elsewhere,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,H10,Conjunctivitis,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,H13.1,Conjunctivitis in infectious and parasitic diseases classified elsewhere,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,H19.2,Keratitis and keratoconjunctivitis in other infectious and parasitic diseases classified elsewhere,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,H60,Otitis externa,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,H62.3,Otitis externa in other infectious and parasitic diseases classified elsewhere,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,H62.4,Otitis externa in other diseases classified elsewhere,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,H65,Nonsuppurative otitis media,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,H66,Suppurative and unspecified otitis media,Possible diagnosis of Other or unspecified infectious organisms
