"Disease","OPCS4code","OPCS4codeDescr","Category"
"Congenital malformations of cardiac septa","K04","Repair of tetralogy of Fallot","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K04.1","Repair of tetralogy of Fallot using valved right ventricular outflow conduit","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K04.2","Repair of tetralogy of Fallot using right ventricular outflow conduit NEC","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K04.3","Repair of tetralogy of Fallot using transannular patch","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K04.4","Revision of repair of tetralogy of Fallot","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K04.5","Repair of tetralogy of Fallot with absent pulmonary valve","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K04.6","Repair of Fallot-type pulmonary atresia with aortopulmonary collaterals","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K04.8","Other specified repair of tetralogy of Fallot","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K04.9","Unspecified repair of tetralogy of Fallot","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K09","Repair of defect of atrioventricular septum","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K09.1","Repair of defect of atrioventricular septum using dual prosthetic patches","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K09.2","Repair of defect of atrioventricular septum using prosthetic patch NEC","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K09.3","Repair of defect of atrioventricular septum using tissue graft","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K09.4","Repair of persistent ostium primum","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K09.5","Primary repair of defect of atrioventricular septum NEC","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K09.6","Revision of repair of defect of atrioventricular septum","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K09.8","Other specified repair of defect of atrioventricular septum","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K09.9","Unspecified repair of defect of atrioventricular septum","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K10","Repair of defect of interatrial septum","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K10.1","Repair of defect of interatrial septum using prosthetic patch","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K10.2","Repair of defect of interatrial septum using pericardial patch","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K10.3","Repair of defect of interatrial septum using tissue graft NEC","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K10.4","Primary repair of defect of interatrial septum NEC","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K10.5","Revision of repair of defect of interatrial septum","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K10.8","Other specified repair of defect of interatrial septum","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K10.9","Unspecified repair of defect of interatrial septum","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K11","Repair of defect of interventricular septum","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K11.1","Repair of defect of interventricular septum using prosthetic patch","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K11.2","Repair of defect of interventricular septum using pericardial patch","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K11.3","Repair of defect of interventricular septum using tissue graft NEC","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K11.4","Primary repair of defect of interventricular septum NEC","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K11.5","Revision of repair of defect of interventricular septum","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K11.6","Repair of multiple interventricular septal defects","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K11.7","Repair of interventricular septal defect using intraoperative transluminal prosthesis","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K11.8","Other specified repair of defect of interventricular septum","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K11.9","Unspecified repair of defect of interventricular septum","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K12","Repair of defect of unspecified septum of heart","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K12.1","Repair of defect of septum of heart using prosthetic patch NEC","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K12.2","Repair of defect of septum of heart using pericardial patch NEC","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K12.3","Repair of defect of septum of heart using tissue graft NEC","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K12.4","Primary repair of defect of septum of heart NEC","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K12.5","Revision of repair of septum of heart NEC","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K12.8","Other specified repair of defect of unspecified septum of heart","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K12.9","Unspecified repair of defect of unspecified septum of heart","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K13","Transluminal repair of defect of septum","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K13.1","Percutaneous transluminal repair of defect of interventricular septum using prosthesis","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K13.2","Percutaneous transluminal repair of defect of interventricular septum NEC","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K13.3","Percutaneous transluminal repair of defect of interatrial septum using prosthesis","Procedure for Congenital malformations of cardiac septa"
