Disease,OPCS4code,OPCS4codeDescr,Category
Peripheral arterial disease,L50,Other emergency bypass of iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L50.1,Emergency bypass of common iliac artery by anastomosis of aorta to common iliac artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L50.2,Emergency bypass of iliac artery by anastomosis of aorta to external iliac artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L50.3,Emergency bypass of artery of leg by anastomosis of aorta to common femoral artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L50.4,Emergency bypass of artery of leg by anastomosis of aorta to deep femoral artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L50.5,Emergency bypass of iliac artery by anastomosis of iliac artery to iliac artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L50.6,Emergency bypass of artery of leg by anastomosis of iliac artery to femoral artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L50.8,Other specified other emergency bypass of iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L50.9,Unspecified other emergency bypass of iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L51,Other bypass of iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L51.1,Bypass of common iliac artery by anastomosis of aorta to common iliac artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L51.2,Bypass of iliac artery by anastomosis of aorta to external iliac artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L51.3,Bypass of artery of leg by anastomosis of aorta to common femoral artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L51.4,Bypass of artery of leg by anastomosis of aorta to deep femoral artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L51.5,Bypass of iliac artery by anastomosis of iliac artery to iliac artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L51.6,Bypass of artery of leg by anastomosis of iliac artery to femoral artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L51.8,Other specified other bypass of iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L51.9,Unspecified other bypass of iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L52,Reconstruction of iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L52.1,Endarterectomy of iliac artery and patch repair of iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L52.2,Endarterectomy of iliac artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L52.8,Other specified reconstruction of iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L52.9,Unspecified reconstruction of iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L53,Other open operations on iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L53.1,Repair of iliac artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L53.2,Open embolectomy of iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L54.1,Percutaneous transluminal angioplasty of iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L54.2,Percutaneous transluminal embolectomy of iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L54.4,Percutaneous transluminal insertion of stent into iliac artery,PAD procedure performed (3)
