Disease,ICD10code,ICD10codeDescr,Category
End stage renal disease,N18.5,"Chronic kidney disease, stage 5",Diagnosis of End stage renal disease
End stage renal disease,T82.4,Mechanical complication of vascular dialysis catheter,Procedure for End stage renal disease
End stage renal disease,Y60.2,During kidney dialysis or other perfusion,Procedure for End stage renal disease
End stage renal disease,Y61.2,During kidney dialysis or other perfusion,Procedure for End stage renal disease
End stage renal disease,Y84.1,Kidney dialysis,Procedure for End stage renal disease
End stage renal disease,Z49.1,Extracorporeal dialysis,Procedure for End stage renal disease
End stage renal disease,Z49.2,Other dialysis,Procedure for End stage renal disease
End stage renal disease,Z99.2,Dependence on renal dialysis,Procedure for End stage renal disease
End stage renal disease,N16.5,Renal tubulo-interstitial disorders in transplant rejection,Procedure for End stage renal disease
End stage renal disease,T86.1,Kidney transplant failure and rejection,Procedure for End stage renal disease
End stage renal disease,Z94.0,Kidney transplant status,Procedure for End stage renal disease
