Disease,ICD10code,ICD10codeDescr,Category
Glomerulonephritis,N00.0,Acute nephritic syndrome - Minor glomerular abnormality,Diagnosis of Glomerulonephritis
Glomerulonephritis,N00.1,Acute nephritic syndrome - Focal and segmental glomerular lesions,Diagnosis of Glomerulonephritis
Glomerulonephritis,N00.2,Acute nephritic syndrome - Diffuse membranous glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N00.3,Acute nephritic syndrome - Diffuse mesangial proliferative glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N00.4,Acute nephritic syndrome - Diffuse endocapillary proliferative glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N00.5,Acute nephritic syndrome - Diffuse mesangiocapillary glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N00.6,Acute nephritic syndrome - Dense deposit disease,Diagnosis of Glomerulonephritis
Glomerulonephritis,N00.7,Acute nephritic syndrome - Diffuse crescentic glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N00.8,Acute nephritic syndrome - Other,Diagnosis of Glomerulonephritis
Glomerulonephritis,N00.9,Acute nephritic syndrome - Unspecified,Diagnosis of Glomerulonephritis
Glomerulonephritis,N01.0,Rapidly progressive nephritic syndrome - Minor glomerular abnormality,Diagnosis of Glomerulonephritis
Glomerulonephritis,N01.1,Rapidly progressive nephritic syndrome - Focal and segmental glomerular lesions,Diagnosis of Glomerulonephritis
Glomerulonephritis,N01.2,Rapidly progressive nephritic syndrome - Diffuse membranous glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N01.3,Rapidly progressive nephritic syndrome - Diffuse mesangial proliferative glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N01.4,Rapidly progressive nephritic syndrome - Diffuse endocapillary proliferative glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N01.5,Rapidly progressive nephritic syndrome - Diffuse mesangiocapillary glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N01.7,Rapidly progressive nephritic syndrome - Diffuse crescentic glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N01.8,Rapidly progressive nephritic syndrome - Other,Diagnosis of Glomerulonephritis
Glomerulonephritis,N01.9,Rapidly progressive nephritic syndrome - Unspecified,Diagnosis of Glomerulonephritis
Glomerulonephritis,N02.0,Recurrent and persistent haematuria - Minor glomerular abnormality,Diagnosis of Glomerulonephritis
