Disease,ICD10code,ICD10codeDescr,Category
Infection of bones and joints,A18.0,Tuberculosis of bones and joints,Diagnosis of Infection of bones and joints
Infection of bones and joints,A54.4,Gonococcal infection of musculoskeletal system,Diagnosis of Infection of bones and joints
Infection of bones and joints,B45.3,Osseous cryptococcosis,Diagnosis of Infection of bones and joints
Infection of bones and joints,B67.2,Echinococcus granulosus infection of bone,Diagnosis of Infection of bones and joints
Infection of bones and joints,B90.2,Sequelae of tuberculosis of bones and joints,Diagnosis of Infection of bones and joints
Infection of bones and joints,M00,Pyogenic arthritis,Diagnosis of Infection of bones and joints
Infection of bones and joints,M01,Direct infections of joint in infectious and parasitic diseases classified elsewhere,Diagnosis of Infection of bones and joints
Infection of bones and joints,M46.2,Osteomyelitis of vertebra,Diagnosis of Infection of bones and joints
Infection of bones and joints,M46.3,Infection of intervertebral disc (pyogenic),Diagnosis of Infection of bones and joints
Infection of bones and joints,M46.4,"Discitis, unspecified",Diagnosis of Infection of bones and joints
Infection of bones and joints,M46.5,Other infective spondylopathies,Diagnosis of Infection of bones and joints
Infection of bones and joints,M49.0,Tuberculosis of spine,Diagnosis of Infection of bones and joints
Infection of bones and joints,M49.1,Brucella spondylitis,Diagnosis of Infection of bones and joints
Infection of bones and joints,M49.2,Enterobacterial spondylitis,Diagnosis of Infection of bones and joints
Infection of bones and joints,M49.3,Spondylopathy in other infectious and parasitic diseases classified elsewhere,Diagnosis of Infection of bones and joints
Infection of bones and joints,M86,Osteomyelitis,Diagnosis of Infection of bones and joints
Infection of bones and joints,M90.0,Tuberculosis of bone,Diagnosis of Infection of bones and joints
Infection of bones and joints,M90.1,Periostitis in other infectious diseases classified elsewhere,Diagnosis of Infection of bones and joints
Infection of bones and joints,M90.2,Osteopathy in other infectious diseases classified elsewhere,Diagnosis of Infection of bones and joints
