Disease,Read code,Medcode,Descr,Category
Cataract,1483,5518,H/O: cataract,History of cataract
Cataract,14N9.00,28513,H/O: R cataract extraction,History of cataract
Cataract,14NA.00,28515,H/O: L cataract extraction,History of cataract
Cataract,14NC.00,11970,H/O: Bilateral cataract extraction,History of cataract
Cataract,22E5.00,1622,O/E - cataract present,Diagnosis of cataract
Cataract,2BT0.00,6547,O/E - Right cataract present,Diagnosis of cataract
Cataract,2BT1.00,9931,O/E - Left cataract present,Diagnosis of cataract
Cataract,2BT..00,64196,Cataract observation,Diagnosis of cataract
Cataract,7263011,23883,Needling of lens for cataract,Diagnosis of cataract
Cataract,7263.12,6330,Extracapsular extraction of cataract,Diagnosis of cataract
Cataract,7264.11,4260,Intracapsular extraction of cataract,Diagnosis of cataract
Cataract,7266100,38641,Discission of cataract,Diagnosis of cataract
Cataract,7266.11,5361,Other extraction of cataract,Diagnosis of cataract
Cataract,7267600,103508,Cataract extraction and insertion of intraocular lens,Diagnosis of cataract
Cataract,8H5H.00,11767,Referral for cataract extraction,Diagnosis of cataract
Cataract,8HTV.00,11941,Referral to cataract clinic,Diagnosis of cataract
Cataract,8LC0.00,94348,Cataract operation planned,Diagnosis of cataract
Cataract,C108F00,44260,Insulin dependent diabetes mellitus with diabetic cataract,Diagnosis of cataract
Cataract,C108F11,17545,Type I diabetes mellitus with diabetic cataract,Diagnosis of cataract
Cataract,C108F12,110400,Type 1 diabetes mellitus with diabetic cataract,Diagnosis of cataract
Cataract,C109E00,69278,Non-insulin depend diabetes mellitus with diabetic cataract,Diagnosis of cataract
Cataract,C109E11,48192,Type II diabetes mellitus with diabetic cataract,Diagnosis of cataract
Cataract,C109E12,44779,Type 2 diabetes mellitus with diabetic cataract,Diagnosis of cataract
Cataract,C10EF00,49554,Type 1 diabetes mellitus with diabetic cataract,Diagnosis of cataract
Cataract,C10EF12,100770,Insulin dependent diabetes mellitus with diabetic cataract,Diagnosis of cataract
Cataract,C10FE00,44982,Type 2 diabetes mellitus with diabetic cataract,Diagnosis of cataract
Cataract,C10FE11,93727,Type II diabetes mellitus with diabetic cataract,Diagnosis of cataract
Cataract,F460000,44794,Unspecified infantile cataract,Diagnosis of cataract
Cataract,F460100,63491,Unspecified juvenile cataract,Diagnosis of cataract
Cataract,F460200,57805,Unspecified presenile cataract,Diagnosis of cataract
Cataract,F460300,59125,Anterior subcapsular polar cataract,Diagnosis of cataract
Cataract,F460400,4242,Posterior subcapsular polar cataract,Diagnosis of cataract
Cataract,F460500,7257,Cortical cataract,Diagnosis of cataract
Cataract,F460600,45190,Lamellar zonular cataract,Diagnosis of cataract
Cataract,F460700,7793,Nuclear cataract,Diagnosis of cataract
Cataract,F460.00,41668,"Infantile, juvenile and presenile cataracts",Diagnosis of cataract
Cataract,F460x00,94474,Combined nonsenile cataract,Diagnosis of cataract
Cataract,F460y00,70403,Other nonsenile cataract,Diagnosis of cataract
Cataract,F460z00,58078,Nonsenile cataract NOS,Diagnosis of cataract
Cataract,F461000,47566,Unspecified senile cataract,Diagnosis of cataract
Cataract,F461100,18048,Lens capsule pseudoexfoliation,Diagnosis of cataract
Cataract,F461200,50932,Coronary cataract,Diagnosis of cataract
Cataract,F461300,26097,Punctate cataract,Diagnosis of cataract
Cataract,F461400,48148,Incipient cataract NOS,Diagnosis of cataract
Cataract,F461500,23631,Immature cataract NOS,Diagnosis of cataract
Cataract,F461600,92358,Anterior subcapsular polar senile cataract,Diagnosis of cataract
Cataract,F461700,5325,Posterior subcapsular polar senile cataract,Diagnosis of cataract
Cataract,F461800,22022,Cortical senile cataract,Diagnosis of cataract
