"Disease","Read code","Medcode","Descr","Category"
"Anorectal fistula","7729700.0","20885.0","Closure of rectal fistula","Procedure for Anorectal fistula"
"Anorectal fistula","7738000.0","4994.0","Laying open of low anal fistula","Procedure for Anorectal fistula"
"Anorectal fistula","7738100.0","20959.0","Laying open of high anal fistula","Procedure for Anorectal fistula"
"Anorectal fistula","7738200.0","2406.0","Laying open of anal fistula NEC","Procedure for Anorectal fistula"
"Anorectal fistula","7738300.0","19419.0","Insertion seton in high anal fistula+part lay open track HFQ","Procedure for Anorectal fistula"
"Anorectal fistula","7738400.0","18188.0","Fistulography of anal fistula","Procedure for Anorectal fistula"
"Anorectal fistula","7738600.0","7140.0","Excision of fistula in ano","Procedure for Anorectal fistula"
"Anorectal fistula","7738611.0","4791.0","Excision of anal fistula","Procedure for Anorectal fistula"
"Anorectal fistula","7738.11","18201.0","Anal fistula operations","Procedure for Anorectal fistula"
"Anorectal fistula","7738900.0","97573.0","Repair of anal fistula using plug","Procedure for Anorectal fistula"
"Anorectal fistula","J531000","56271.0","Sub-mucosal anal fistula","Diagnosis of Anorectal fistula"
"Anorectal fistula","J531100","59127.0","Inter-muscular anal fistula","Diagnosis of Anorectal fistula"
"Anorectal fistula","J531200","19952.0","Ano-rectal fistula","Diagnosis of Anorectal fistula"
"Anorectal fistula","J531300","15202.0","Rectal fistula","Diagnosis of Anorectal fistula"
"Anorectal fistula","J531.00","598.0","Fistula-in-ano","Diagnosis of Anorectal fistula"
"Anorectal fistula","J531z00","37729.0","Fistula-in-ano NOS","Diagnosis of Anorectal fistula"
"Anorectal fistula","J53..00","1979.0","Anal fissure and fistula","Diagnosis of Anorectal fistula"
"Anorectal fistula","J53z.00","15210.0","Anal fissure and fistula NOS","Diagnosis of Anorectal fistula"
