"metadata","category","readcode","readterm","medcode"
"Name: dm_cprd                                                                 ",1,"1434.00","H/O: diabetes mellitus",6813
"Version: 2                                                                    ",1,"14F4.00","H/O: Admission in last year for diabetes foot problem",7045
"Source: CPRD                                                                  ",1,"14P3.00","H/O: insulin therapy",17236
"Author: Julie George, Emily Herrett, Anoop Shah, Liam Smeeth, Harry Hemingway ",1,"2126300","Diabetes resolved",28622
"Date: 06 Jan 2012                                                             ",1,"212H.00","Diabetes resolved",18766
"Timestamp: 15.04 23-Apr-13                                                    ",1,"9OL9.00","Diabetes monitoring deleted",54846
"Categories:                                                                   ",2,"13Y1.00","Diabetic association member",46533
"1. H/O diabetes                                                               ",2,"3881.00","Education score - diabetes",12703
"2. Possible diabetes                                                          ",2,"3882.00","Diabetes well being questionnaire",34528
"3. Insulin dependent diabetes                                                 ",2,"66A..00","Diabetic monitoring",3550
"4. Non insulin dependent diabetes                                             ",2,"66A1.00","Initial diabetic assessment",13070
"5. Secondary diabetes                                                         ",2,"66A2.00","Follow-up diabetic assessment",608
"6. Diabetes, not otherwise specified                                          ",2,"66AM.00","Diabetic - follow-up default",17886
"7. Diabetes excluded                                                          ",2,"66AZ.00","Diabetic monitoring NOS",13067
"8. Diabetes resolved                                                          ",2,"66Af.00","Patient diabetes education review",32619
"                                                                              ",2,"66Ak.00","Diabetic monitoring - lower risk albumin excretion",66475
"                                                                              ",2,"66Al.00","Diabetic monitoring - higher risk albumin excretion",61470
"                                                                              ",2,"679L.00","Health education - diabetes",13057
"                                                                              ",2,"679R.00","Patient offered diabetes structured education programme",12682
"                                                                              ",2,"8A12.00","Diabetic crisis monitoring",47341
"                                                                              ",2,"8A17.00","Self monitoring of blood glucose",17478
"                                                                              ",2,"8A18.00","Self monitoring of urine glucose",17846
"                                                                              ",2,"8A19.00","Self monitoring of blood and urine glucose",42217
"                                                                              ",2,"8A1A.00","Self monitoring urine ketones",55140
"                                                                              ",2,"8CR2.00","Diabetes clinical management plan",63412
"                                                                              ",2,"8CS0.00","Diabetes care plan agreed",47032
"                                                                              ",2,"8HHy.00","Referral to diabetic register",57723
"                                                                              ",2,"8HTe.00","Referral to diabetes preconception counselling clinic",50937
"                                                                              ",2,"8HTk.00","Referral to diabetic eye clinic",19381
"                                                                              ",2,"8Hg4.00","Discharged from care of diabetes specialist nurse",47058
"                                                                              ",2,"8Hj0.00","Referral to diabetes structured education programme",47011
"                                                                              ",2,"8Hj3.00","Referral to DAFNE diabetes structured education programme",93704
"                                                                              ",2,"8Hj4.00","Referral to DESMOND diabetes structured education programme",93657
"                                                                              ",2,"8Hj5.00","Referral to XPERT diabetes structured education programme",93870
"                                                                              ",2,"8I6F.00","Diabetic retinopathy screening not indicated",18747
"                                                                              ",2,"8I6G.00","Diabetic foot examination not indicated",12247
"                                                                              ",2,"8I81.00","Did not complete diabetes structured education programme",95094
"                                                                              ",2,"8I82.00","Did not complete DAFNE diabetes structured education program",97809
"                                                                              ",2,"8I83.00","Did not complete DESMOND diabetes structured educat program",95093
"                                                                              ",2,"8I84.00","Did not complete XPERT diabetes structured education program",94956
"                                                                              ",2,"93C4.00","Patient consent given for addition to diabetic register",57389
"                                                                              ",2,"9N0m.00","Seen in diabetic nurse consultant clinic",38103
"                                                                              ",2,"9N0n.00","Seen in community diabetes specialist clinic",32739
"                                                                              ",2,"9N0o.00","Seen in community diabetic specialist nurse clinic",38129
"                                                                              ",2,"9N1Q.00","Seen in diabetic clinic",2379
"                                                                              ",2,"9N1i.00","Seen in diabetic foot clinic",10824
"                                                                              ",2,"9N1o.00","Seen in multidisciplinary diabetic clinic",95813
"                                                                              ",2,"9N1v.00","Seen in diabetic eye clinic",9974
"                                                                              ",2,"9N2d.00","Seen by diabetologist",46521
"                                                                              ",2,"9N2i.00","Seen by diabetic liaison nurse",12507
"                                                                              ",2,"9N4I.00","DNA - Did not attend diabetic clinic",9145
"                                                                              ",2,"9N4p.00","Did not attend diabetic retinopathy clinic",30648
"                                                                              ",2,"9NM0.00","Attending diabetes clinic",6430
"                                                                              ",2,"9NN8.00","Under care of diabetologist",54601
"                                                                              ",2,"9NN9.00","Under care of diabetes specialist nurse",11930
"                                                                              ",2,"9NND.00","Under care of diabetic foot screener",11094
"                                                                              ",2,"9NiA.00","Did not attend diabetes structured education programme",95553
"                                                                              ",2,"9NiD.00","Did not attend DESMOND diabetes structured education program",95159
"                                                                              ",2,"9NiE.00","Did not attend XPERT diabetes structured education programme",94955
"                                                                              ",2,"9Nl4.00","Seen by general practitioner special interest in diabetes",97281
"                                                                              ",2,"9OL..00","Diabetes monitoring admin.",9897
"                                                                              ",2,"9OL1.00","Attends diabetes monitoring",13197
"                                                                              ",2,"9OL2.00","Refuses diabetes monitoring",26603
"                                                                              ",2,"9OL3.00","Diabetes monitoring default",22130
"                                                                              ",2,"9OL4.00","Diabetes monitoring 1st letter",13194
"                                                                              ",2,"9OL5.00","Diabetes monitoring 2nd letter",13195
"                                                                              ",2,"9OL6.00","Diabetes monitoring 3rd letter",12030
"                                                                              ",2,"9OL7.00","Diabetes monitor.verbal invite",31240
"                                                                              ",2,"9OL8.00","Diabetes monitor.phone invite",31141
"                                                                              ",2,"9OLA.00","Diabetes monitor. check done",13192
"                                                                              ",2,"9OLA.11","Diabetes monitored",20900
"                                                                              ",2,"9OLB.00","Attended diabetes structured education programme",26605
"                                                                              ",2,"9OLF.00","Diabetes structured education programme completed",94186
"                                                                              ",2,"9OLG.00","Attended XPERT diabetes structured education programme",94011
"                                                                              ",2,"9OLH.00","Attended DAFNE diabetes structured education programme",93390
"                                                                              ",2,"9OLJ.00","DAFNE diabetes structured education programme completed",93491
"                                                                              ",2,"9OLK.00","DESMOND diabetes structured education programme completed",93529
"                                                                              ",2,"9OLL.00","XPERT diabetes structured education programme completed",93631
"                                                                              ",2,"9OLM.00","Diabetes structured education programme declined",93854
"                                                                              ",2,"9OLZ.00","Diabetes monitoring admin.NOS",31241
"                                                                              ",2,"9h4..00","Exception reporting: diabetes quality indicators",28574
"                                                                              ",2,"9h41.00","Excepted from diabetes qual indicators: Patient unsuitable",11041
"                                                                              ",2,"9h42.00","Excepted from diabetes quality indicators: Informed dissent",11348
"                                                                              ",2,"ZL22500","Under care of diabetic liaison nurse",45250
"                                                                              ",2,"ZLA2500","Seen by diabetic liaison nurse",8618
"                                                                              ",2,"ZLD7500","Discharge by diabetic liaison nurse",58133
"                                                                              ",2,"ZRB4.00","Diabetes clinic satisfaction questionnaire",68546
"                                                                              ",2,"ZRB4.11","CSQ - Diabetes clinic satisfaction questionnaire",91164
"                                                                              ",2,"ZRB5.00","Diabetes treatment satisfaction questionnaire",94699
"                                                                              ",2,"ZRB5.11","DTSQ - Diabetes treatment satisfaction questionnaire",68818
"                                                                              ",2,"ZRB6.00","Diabetes wellbeing questionnaire",38130
"                                                                              ",2,"ZRB6.11","DWBQ - Diabetes wellbeing questionnaire",97824
"                                                                              ",2,"ZRBa.00","Education score - diabetes",67664
"                                                                              ",3,"66An.00","Diabetes type 1 review",85660
"                                                                              ",3,"C100000","Diabetes mellitus, juvenile type, no mention of complication",24490
"                                                                              ",3,"C100011","Insulin dependent diabetes mellitus",1038
"                                                                              ",3,"C101000","Diabetes mellitus, juvenile type, with ketoacidosis",53200
"                                                                              ",3,"C102000","Diabetes mellitus, juvenile type, with hyperosmolar coma",40023
"                                                                              ",3,"C103000","Diabetes mellitus, juvenile type, with ketoacidotic coma",42567
"                                                                              ",3,"C104000","Diabetes mellitus, juvenile type, with renal manifestation",93922
"                                                                              ",3,"C105000","Diabetes mellitus, juvenile type, + ophthalmic manifestation",69748
"                                                                              ",3,"C106000","Diabetes mellitus, juvenile, + neurological manifestation",67853
"                                                                              ",3,"C107000","Diabetes mellitus, juvenile +peripheral circulatory disorder",70448
"                                                                              ",3,"C107300","IDDM with peripheral circulatory disorder",69124
"                                                                              ",3,"C108.00","Insulin dependent diabetes mellitus",1647
"                                                                              ",3,"C108.11","IDDM-Insulin dependent diabetes mellitus",18505
"                                                                              ",3,"C108.12","Type 1 diabetes mellitus",17858
