"Disease","Read code","Medcode","Descr","Category"
"Aspiration pneumonitis","H470000","41781.0","Pneumonitis due to inhalation of regurgitated food","Diagnosis of Aspiration pneumonitis"
"Aspiration pneumonitis","H470100","59083.0","Pneumonitis due to inhalation of gastric secretions","Diagnosis of Aspiration pneumonitis"
"Aspiration pneumonitis","H470200","66104.0","Pneumonitis due to inhalation of milk","Diagnosis of Aspiration pneumonitis"
"Aspiration pneumonitis","H470211","30996.0","Milk inhalation pneumonitis","Diagnosis of Aspiration pneumonitis"
"Aspiration pneumonitis","H470300","45948.0","Pneumonitis due to inhalation of vomitus","Diagnosis of Aspiration pneumonitis"
"Aspiration pneumonitis","H470311","56385.0","Vomit inhalation pneumonitis","Diagnosis of Aspiration pneumonitis"
"Aspiration pneumonitis","H470312","25054.0","Aspiration pneumonia due to vomit","Diagnosis of Aspiration pneumonitis"
"Aspiration pneumonitis","H470.00","3847.0","Pneumonitis due to inhalation of food or vomitus","Diagnosis of Aspiration pneumonitis"
"Aspiration pneumonitis","H470.11","101204.0","Aspiration pneumonia","Diagnosis of Aspiration pneumonitis"
"Aspiration pneumonitis","H470z00","33837.0","Pneumonitis due to inhalation of food or vomitus NOS","Diagnosis of Aspiration pneumonitis"
"Aspiration pneumonitis","H471000","41015.0","Lipoid pneumonia (exogenous)","Diagnosis of Aspiration pneumonitis"
"Aspiration pneumonitis","H471.00","56647.0","Pneumonitis due to inhalation of oil or essence","Diagnosis of Aspiration pneumonitis"
"Aspiration pneumonitis","H471z00","66773.0","Pneumonitis due to inhalation of oil or essence NOS","Diagnosis of Aspiration pneumonitis"
"Aspiration pneumonitis","H47..00","9711.0","Pneumonitis due to inhalation of solids or liquids","Diagnosis of Aspiration pneumonitis"
"Aspiration pneumonitis","H47..11","10992.0","Aspiration pneumonitis","Diagnosis of Aspiration pneumonitis"
"Aspiration pneumonitis","H47y.00","47504.0","Pneumonitis due to inhalation of other solid or liquid","Diagnosis of Aspiration pneumonitis"
"Aspiration pneumonitis","H47yz00","54252.0","Pneumonitis due to inhalation of solid or liquid NOS","Diagnosis of Aspiration pneumonitis"
"Aspiration pneumonitis","H47z.00","46066.0","Pneumonitis due to inhalation of solid or liquid NOS","Diagnosis of Aspiration pneumonitis"
"Aspiration pneumonitis","Hyu4700","99232.0","[X]Pneumonitis due to inhalation of other solids and liquids","Diagnosis of Aspiration pneumonitis"
"Aspiration pneumonitis","SP13100","13563.0","Other aspiration pneumonia as a complication of care","Diagnosis of Aspiration pneumonitis"
